Date,Open,High,Low,Close,Adj Close,Volume,Source
2020-01-13,57484.84,57808.7,57367.06,57572.72,57572.72,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-14,57572.72,57967.13,57572.72,57967.13,57967.13,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-15,57967.13,58243.29,57724.33,58063.59,58063.59,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-16,58063.59,58328.9,57897.94,58217.43,58217.43,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-17,58217.43,59098.56,58217.43,59001.87,59001.87,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-20,59001.87,59104.61,58809.06,58850.41,58850.41,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-21,58850.41,58850.41,57633.44,57976.39,57976.39,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-22,57976.39,58399.67,57897.75,57918.89,57918.89,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-23,57918.89,57918.89,56867.91,56894.67,56894.67,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-24,56894.67,57350.51,56894.67,57261.04,57261.04,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-27,57261.04,57261.04,55772.87,55902.94,55902.94,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-28,55902.94,56076.08,55529.33,55748.24,55748.24,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-29,55748.24,56637.55,55748.24,56370.72,56370.72,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-30,56370.72,56618.28,55656.57,56590.93,56590.93,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-01-31,56590.93,56590.93,55932.89,56079.54,56079.54,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-02-03,56079.54,56195.65,55772.41,55828.49,55828.49,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-02-04,55828.49,56893.23,55828.49,56817.03,56817.03,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-02-05,56817.03,57532.53,56799.09,57426.2,57426.2,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-02-06,57426.2,57848.74,57426.2,57531.49,57531.49,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2020-02-07,57531.49,57661.96,57065.26,57276.49,57276.49,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
